aah	ah
forbs	orbs
forby	orby
fordo	ordo
fore	ore
fores	ores
forgone	orgone
former	ormer
formers	ormers
fort	ort
forts	orts
fossa	ossa
fought	ought
four	our
fours	ours
fowl	owl
fowls	owls
fox	ox
foxes	oxes
foxtail	oxtail
foxtails	oxtails
foxy	oxy
foy	oy
foyer	oyer
foyers	oyers
frag	rag
fragged	ragged
fragging	ragging
frags	rags
frail	rail
frailer	railer
frails	rails
fraise	raise
fraises	raises
frank	rank
franked	ranked
franker	ranker
frankers	rankers
frankest	rankest
franking	ranking
frankly	rankly
frankness	rankness
franknesses	ranknesses
franks	ranks
frap	rap
frapped	rapped
frapping	rapping
fraps	raps
frat	rat
frater	rater
fraters	raters
frats	rats
fray	ray
frayed	rayed
fraying	raying
frays	rays
free	ree
freed	reed
freedman	reedman
freedmen	reedmen
frees	rees
freest	reest
fresh	resh
freshes	reshes
fret	ret
frets	rets
fretted	retted
fretting	retting
fridge	ridge
fridges	ridges
frig	rig
frigged	rigged
frigging	rigging
fright	right
frighted	righted
frightful	rightful
frightfully	rightfully
frightfulness	rightfulness
frightfulnesses	rightfulnesses
frighting	righting
frights	rights
frigid	rigid
frigidities	rigidities
frigidity	rigidity
frigidly	rigidly
frigidness	rigidness
frigidnesses	rigidnesses
frigs	rigs
frill	rill
frilled	rilled
frilling	rilling
frills	rills
fringed	ringed
fringing	ringing
frise	rise
frises	rises
frisk	risk
frisked	risked
frisker	risker
friskers	riskers
friskier	riskier
friskiest	riskiest
friskily	riskily
friskiness	riskiness
friskinesses	riskinesses
frisking	risking
frisks	risks
frisky	risky
fritter	ritter
fritters	ritters
fritz	ritz
fritzes	ritzes
frock	rock
frocked	rocked
frocking	rocking
frocks	rocks
froe	roe
froes	roes
from	rom
frow	row
frows	rows
frug	rug
frugal	rugal
frugged	rugged
frugging	rugging
frugs	rugs
frump	rump
frumps	rumps
fumbles	umbles
fun	un
function	unction
functions	unctions
funfair	unfair
funs	uns
fuse	use
fused	used
fuseless	useless
fuses	uses
fusing	using
futile	utile
futilitarian	utilitarian
futilitarianism	utilitarianism
futilitarianisms	utilitarianisms
futilitarians	utilitarians
futilities	utilities
futility	utility
gab	ab
gable	able
gabled	abled
gables	ables
gaboon	aboon
gabs	abs
gaby	aby
gad	ad
gadded	added
gadder	adder
gadders	adders
gadding	adding
gads	ads
gae	ae
gaff	aff
gag	ag
gaga	aga
gage	age
gaged	aged
gager	ager
gagers	agers
gages	ages
gagger	agger
gaggers	aggers
gaging	aging
gain	ain
gains	ains
gait	ait
gaits	aits
gal	al
gala	ala
galas	alas
gale	ale
gales	ales
gall	all
galley	alley
galleys	alleys
gallied	allied
gallies	allies
gallium	allium
galliums	alliums
gallows	allows
galls	alls
gally	ally
gallying	allying
gals	als
gam	am
gama	ama
gamas	amas
gambit	ambit
gambits	ambits
gamble	amble
gambled	ambled
gambler	ambler
gamblers	amblers
gambles	ambles
gambling	ambling
gamin	amin
gamine	amine
gamines	amines
gamins	amins
gamp	amp
gamps	amps
gan	an
gane	ane
ganger	anger
gangers	angers
gangling	angling
gantelope	antelope
gantelopes	antelopes
gape	ape
gaped	aped
gaper	aper
gapers	apers
gapes	apes
gaping	aping
gar	ar
garb	arb
garbs	arbs
gargle	argle
gargled	argled
gargles	argles
gargling	argling
gars	ars
gas	as
gash	ash
gashed	ashed
gashes	ashes
gashing	ashing
gasking	asking
gaskings	askings
gasp	asp
gasper	asper
gaspers	aspers
gasps	asps
gasses	asses
gaster	aster
gasters	asters
gastral	astral
gastronomic	astronomic
gastronomical	astronomical
gastronomically	astronomically
gastronomies	astronomies
gastronomy	astronomy
gat	at
gate	ate
gates	ates
gauger	auger
gaugers	augers
gaunt	aunt
gauntly	auntly
gave	ave
gay	ay
gays	ays
gear	ear
geared	eared
gearing	earing
gearings	earings
gearless	earless
gears	ears
ged	ed
geek	eek
gel	el
gelate	elate
gelated	elated
gelates	elates
gelating	elating
gelation	elation
gelations	elations
geld	eld
gelder	elder
gelders	elders
gelds	elds
gels	els
gem	em
gemmy	emmy
gemote	emote
gemotes	emotes
gems	ems
gen	en
gender	ender
genders	enders
gens	ens
gentries	entries
gentry	entry
gestate	estate
gestated	estated
gestates	estates
gestating	estating
get	et
geta	eta
getas	etas
gharries	harries
gharry	harry
ghast	hast
ghat	hat
ghats	hats
ghaut	haut
ghi	hi
ghis	his
ghost	host
ghosted	hosted
ghosting	hosting
ghostly	hostly
ghosts	hosts
gid	id
gids	ids
gigged	igged
gigging	igging
gill	ill
giller	iller
gills	ills
gilly	illy
gimmies	immies
gimp	imp
gimped	imped
gimping	imping
gimps	imps
gin	in
gink	ink
ginks	inks
ginned	inned
ginner	inner
ginners	inners
ginning	inning
ginnings	innings
gins	ins
giron	iron
girons	irons
git	it
gits	its
gizzard	izzard
gizzards	izzards
glabella	labella
glace	lace
glaces	laces
glacier	lacier
glad	lad
gladder	ladder
glade	lade
glades	lades
glads	lads
glady	lady
glair	lair
glaired	laired
glairing	lairing
glairs	lairs
glam	lam
glance	lance
glanced	lanced
glancer	lancer
glancers	lancers
glances	lances
glancing	lancing
gland	land
glanders	landers
glandless	landless
glands	lands
glares	lares
glass	lass
glasses	lasses
glassie	lassie
glassies	lassies
glaze	laze
glazed	lazed
glazes	lazes
glazier	lazier
glaziest	laziest
glazing	lazing
glazy	lazy
glean	lean
gleaned	leaned
gleaner	leaner
gleaners	leaners
gleaning	leaning
gleanings	leanings
gleans	leans
gled	led
glede	lede
glee	lee
gleek	leek
gleeks	leeks
glees	lees
gleet	leet
gleets	leets
gleg	leg
glens	lens
gley	ley
gleys	leys
glib	lib
glibber	libber
glime	lime
glimed	limed
glimes	limes
gliming	liming
glimmer	limmer
glimmers	limmers
glint	lint
glints	lints
glisten	listen
glistened	listened
glistening	listening
glistens	listens
glister	lister
glisters	listers
glitter	litter
glittered	littered
glittering	littering
glitters	litters
glittery	littery
gloam	loam
gloaming	loaming
gloams	loams
glob	lob
globate	lobate
globated	lobated
globby	lobby
globe	lobe
globed	lobed
globes	lobes
globs	lobs
globular	lobular
globule	lobule
globules	lobules
gloom	loom
gloomed	loomed
glooming	looming
glooms	looms
glop	lop
glopped	lopped
glopping	lopping
gloppy	loppy
glops	lops
glories	lories
glory	lory
gloss	loss
glosses	losses
glossy	lossy
glost	lost
glout	lout
glouted	louted
glouting	louting
glouts	louts
glove	love
gloved	loved
glover	lover
glovers	lovers
gloves	loves
gloving	loving
glow	low
glowed	lowed
glower	lower
glowered	lowered
glowering	lowering
glowers	lowers
glowing	lowing
glows	lows
glues	lues
glug	lug
glugged	lugged
glugging	lugging
glugs	lugs
glum	lum
glumpier	lumpier
glumpiest	lumpiest
glumpily	lumpily
glumpy	lumpy
glunch	lunch
glunched	lunched
glunches	lunches
glunching	lunching
glute	lute
gluteal	luteal
gnattier	nattier
gnattiest	nattiest
gnatty	natty
gnaw	naw
gnome	nome
gnomes	nomes
gnoses	noses
gnu	nu
gnus	nus
goat	oat
goatlike	oatlike
goats	oats
goboes	oboes
god	od
gods	ods
goes	oes
goffer	offer
goffered	offered
goffering	offering
goffers	offers
gold	old
golden	olden
golder	older
goldest	oldest
golds	olds
gone	one
goneness	oneness
gonenesses	onenesses
gonion	onion
gonium	onium
goops	oops
gor	or
goral	oral
gorals	orals
gore	ore
gores	ores
gout	out
gouts	outs
gown	own
gowned	owned
gowning	owning
gowns	owns
gox	ox
goxes	oxes
goy	oy
grabble	rabble
grabbled	rabbled
grabbler	rabbler
grabblers	rabblers
grabbles	rabbles
grabbling	rabbling
grace	race
graced	raced
graces	races
gracing	racing
grackle	rackle
grad	rad
gradiometer	radiometer
gradiometers	radiometers
grads	rads
graft	raft
grafted	rafted
grafter	rafter
grafters	rafters
grafting	rafting
grafts	rafts
grail	rail
grails	rails
grain	rain
grained	rained
grainier	rainier
grainiest	rainiest
graining	raining
grains	rains
grainy	rainy
gram	ram
gramp	ramp
gramps	ramps
grams	rams
gran	ran
grand	rand
grands	rands
grange	range
granger	ranger
grangers	rangers
granges	ranges
grant	rant
granted	ranted
granter	ranter
granters	ranters
granting	ranting
grants	rants
grape	rape
grapes	rapes
grapier	rapier
grasp	rasp
grasped	rasped
grasper	rasper
graspers	raspers
grasping	rasping
graspingly	raspingly
grasps	rasps
grat	rat
grate	rate
grated	rated
grater	rater
graters	raters
grates	rates
gratification	ratification
gratifications	ratifications
gratified	ratified
gratifies	ratifies
gratify	ratify
gratifying	ratifying
gratine	ratine
grating	rating
gratings	ratings
grave	rave
graved	raved
gravel	ravel
graveled	raveled
graveling	raveling
gravelled	ravelled
gravelling	ravelling
gravelly	ravelly
gravels	ravels
graven	raven
graver	raver
gravers	ravers
graves	raves
graving	raving
gray	ray
grayed	rayed
graying	raying
grays	rays
graze	raze
grazed	razed
grazer	razer
grazers	razers
grazes	razes
grazing	razing
greave	reave
greaved	reaved
greaves	reaves
gree	ree
greed	reed
greedier	reedier
greediest	reediest
greedily	reedily
greediness	reediness
greedinesses	reedinesses
greeds	reeds
greedy	reedy
greek	reek
greengage	reengage
greengages	reengages
grees	rees
grid	rid
gridder	ridder
gridders	ridders
griddle	riddle
griddled	riddled
griddles	riddles
griddling	riddling
gride	ride
grides	rides
griding	riding
grids	rids
griever	riever
grievers	rievers
griff	riff
griffs	riffs
grift	rift
grifted	rifted
grifting	rifting
grifts	rifts
grig	rig
grigs	rigs
grill	rill
grille	rille
grilled	rilled
grilles	rilles
grilling	rilling
grills	rills
grim	rim
grime	rime
grimed	rimed
grimes	rimes
grimier	rimier
grimiest	rimiest
griminess	riminess
griminesses	riminesses
griming	riming
grimmer	rimmer
grimy	rimy
grin	rin
grind	rind
grinded	rinded
grinds	rinds
grinning	rinning
grins	rins
griot	riot
griots	riots
grip	rip
gripe	ripe
griped	riped
griper	riper
gripes	ripes
griping	riping
gripped	ripped
gripper	ripper
grippers	rippers
gripping	ripping
gripple	ripple
grips	rips
grivet	rivet
grivets	rivets
groan	roan
groans	roans
groom	room
groomed	roomed
groomer	roomer
groomers	roomers
grooming	rooming
grooms	rooms
grope	rope
groped	roped
groper	roper
gropers	ropers
gropes	ropes
groping	roping
grot	rot
grots	rots
grouches	rouches
ground	round
grounded	rounded
grounder	rounder
grounders	rounders
grounding	rounding
grounds	rounds
groundsman	roundsman
groundsmen	roundsmen
groundwood	roundwood
groundwoods	roundwoods
group	roup
grouped	rouped
grouping	rouping
groups	roups
grouse	rouse
groused	roused
grouser	rouser
grousers	rousers
grouses	rouses
grousing	rousing
grout	rout
grouted	routed
grouter	router
grouters	routers
grouting	routing
grouts	routs
grove	rove
groved	roved
groves	roves
grow	row
growable	rowable
grower	rower
growers	rowers
growing	rowing
grows	rows
growth	rowth
growths	rowths
grub	rub
grubbed	rubbed
grubber	rubber
grubbers	rubbers
grubbing	rubbing
grubs	rubs
grue	rue
grues	rues
gruff	ruff
gruffed	ruffed
gruffing	ruffing
gruffly	ruffly
gruffs	ruffs
grum	rum
grumble	rumble
grumbled	rumbled
grumbler	rumbler
grumblers	rumblers
grumbles	rumbles
grumbling	rumbling
grumbly	rumbly
grummer	rummer
grummest	rummest
grump	rump
grumps	rumps
grunt	runt
grunts	runts
gum	um
gumbo	umbo
gumbos	umbos
gun	un
gunfought	unfought
gunite	unite
gunites	unites
gunless	unless
gunlock	unlock
gunlocks	unlocks
gunman	unman
guns	uns
gunship	unship
gunships	unships
gunslinging	unslinging
gurge	urge
gurged	urged
gurges	urges
gurging	urging
gurus	urus
gusher	usher
gushers	ushers
gut	ut
guts	uts
gutter	utter
guttered	uttered
guttering	uttering
gutters	utters
hackee	ackee
hackees	ackees
had	ad
hae	ae
haft	aft
hafter	after
hafters	afters
hag	ag
haggadic	aggadic
hah	ah
haha	aha
hahs	ahs
hail	ail
hailed	ailed
hailing	ailing
hails	ails
hair	air
hairbrush	airbrush
hairbrushes	airbrushes
haired	aired
hairier	airier
hairiest	airiest
hairiness	airiness
hairinesses	airinesses
hairless	airless
hairlessness	airlessness
hairlessnesses	airlessnesses
hairlike	airlike
hairline	airline
hairlines	airlines
hairs	airs
hairy	airy
halation	alation
halations	alations
hale	ale
hales	ales
hall	all
hallot	allot
hallow	allow
hallowed	allowed
hallowing	allowing
hallows	allows
halls	alls
halma	alma
halmas	almas
halms	alms
haloes	aloes
halt	alt
halter	alter
haltered	altered
haltering	altering
halters	alters
halts	alts
ham	am
hambones	ambones
hand	and
hands	ands
hanger	anger
hangers	angers
hansa	ansa
hant	ant
hanted	anted
hanting	anting
hants	ants
haplite	aplite
haplites	aplites
harbor	arbor
harbored	arbored
harbors	arbors
harbour	arbour
harboured	arboured
harbours	arbours
hare	are
hares	ares
hark	ark
harks	arks
harm	arm
harmed	armed
harmer	armer
harmers	armers
harmful	armful
harming	arming
harmless	armless
harmonica	armonica
harmonicas	armonicas
harms	arms
harquebus	arquebus
harquebuses	arquebuses
harrow	arrow
harrowed	arrowed
harrowing	arrowing
harrows	arrows
hart	art
hartal	artal
harts	arts
haruspex	aruspex
haruspices	aruspices
has	as
hash	ash
hashed	ashed
hashes	ashes
hashing	ashing
hasp	asp
hasps	asps
hat	at
hate	ate
hates	ates
haunt	aunt
haunts	aunts
hauteur	auteur
hauteurs	auteurs
have	ave
havens	avens
haver	aver
havers	avers
haves	aves
haw	aw
hawed	awed
hawing	awing
hay	ay
hays	ays
hazan	azan
hazans	azans
hear	ear
hearing	earing
hearings	earings
hears	ears
hearth	earth
hearths	earths
heat	eat
heatable	eatable
heater	eater
heaters	eaters
heath	eath
heating	eating
heats	eats
heave	eave
heaved	eaved
heaves	eaves
hedge	edge
hedged	edged
hedger	edger
hedgers	edgers
hedges	edges
hedgier	edgier
hedgiest	edgiest
hedging	edging
hedgy	edgy
heel	eel
heels	eels
heft	eft
hefts	efts
heh	eh
height	eight
heighth	eighth
heighths	eighths
heights	eights
held	eld
hell	ell
hells	ells
helm	elm
helms	elms
helves	elves
hem	em
heme	eme
hemes	emes
hemic	emic
hemmer	emmer
hemmers	emmers
hems	ems
hen	en
hens	ens
her	er
here	ere
hern	ern
herns	erns
heros	eros
herring	erring
hers	ers
hes	es
hessonite	essonite
hessonites	essonites
het	et
heth	eth
heths	eths
hewer	ewer
hewers	ewers
hex	ex
hexamine	examine
hexamines	examines
hexarchies	exarchies
hexarchy	exarchy
hexes	exes
hexing	exing
hick	ick
hid	id
hides	ides
hill	ill
hiller	iller
hills	ills
hilly	illy
hin	in
hinkier	inkier
hinkiest	inkiest
hinky	inky
hins	ins
hinter	inter
hinters	inters
hire	ire
hired	ired
hires	ires
hiring	iring
his	is
hit	it
hitch	itch
hitched	itched
hitches	itches
hitching	itching
hither	ither
hits	its
hmm	mm
hoar	oar
hoars	oars
hoboes	oboes
hocker	ocker
hockers	ockers
hod	od
hods	ods
hoe	oe
hoes	oes
hoke	oke
hokes	okes
hold	old
holden	olden
holder	older
holds	olds
hole	ole
holes	oles
holla	olla
hollas	ollas
hombre	ombre
hombres	ombres
homer	omer
homers	omers
hon	on
hone	one
hones	ones
hons	ons
hoops	oops
hoot	oot
hoots	oots
hop	op
hope	ope
hoped	oped
hopes	opes
hoping	oping
hops	ops
hora	ora
horal	oral
horologies	orologies
horology	orology
hose	ose
hoses	oses
hosier	osier
hosiers	osiers
hostler	ostler
hostlers	ostlers
hotter	otter
hour	our
hours	ours
housel	ousel
housels	ousels
hover	over
hovered	overed
hovering	overing
hovers	overs
how	ow
howe	owe
howes	owes
howl	owl
howlet	owlet
howlets	owlets
howls	owls
hoy	oy
huh	uh
hum	um
humbles	umbles
hump	ump
humped	umped
humping	umping
humps	umps
hun	un
huns	uns
hup	up
hurds	urds
hut	ut
huts	uts
hwan	wan
ibices	bices
ibis	bis
ibises	bises
icon	con
icones	cones
iconic	conic
iconical	conical
iconically	conically
iconicities	conicities
iconicity	conicity
icons	cons
ideal	deal
ideals	deals
idol	dol
idols	dols
ikat	kat
ikats	kats
ilea	lea
ileal	leal
ilex	lex
ilexes	lexes
image	mage
images	mages
imid	mid
imids	mids
imine	mine
imines	mines
inerts	nerts
iodic	odic
ion	on
ionium	onium
ions	ons
irate	rate
irater	rater
ire	re
ired	red
ires	res
irid	rid
irides	rides
irids	rids
iring	ring
irises	rises
irising	rising
isatin	satin
isatins	satins
islander	slander
islanders	slanders
isled	sled
isling	sling
isolate	solate
isolated	solated
isolates	solates
isolating	solating
isolation	solation
isolations	solations
ivied	vied
ivies	vies
iwis	wis
jab	ab
jabs	abs
jag	ag
jager	ager
jagers	agers
jagger	agger
jaggers	aggers
jail	ail
jailed	ailed
jailing	ailing
jails	ails
jam	am
jane	ane
janes	anes
jangle	angle
jangled	angled
jangler	angler
janglers	anglers
jangles	angles
jangling	angling
jape	ape
japed	aped
japer	aper
japeries	aperies
japers	apers
japery	apery
japes	apes
japing	aping
jar	ar
jargon	argon
jargons	argons
jars	ars
jasper	asper
jaspers	aspers
jauk	auk
jauks	auks
jaunt	aunt
jaunts	aunts
jaunty	aunty
java	ava
jaw	aw
jawed	awed
jawing	awing
jay	ay
jays	ays
jell	ell
jells	ells
jemmy	emmy
jeon	eon
jess	ess
jesses	esses
jester	ester
jesters	esters
jet	et
jiff	iff
jiffy	iffy
jigged	igged
jigging	igging
jill	ill
jills	ills
jimmies	immies
jimmy	immy
jimp	imp
jimply	imply
jin	in
jingle	ingle
jingles	ingles
jink	ink
jinked	inked
jinker	inker
jinkers	inkers
jinking	inking
jinks	inks
jinn	inn
jinns	inns
jins	ins
jism	ism
jisms	isms
jivy	ivy
jnana	nana
jnanas	nanas
jocular	ocular
jocularly	ocularly
joe	oe
joes	oes
joke	oke
jokes	okes
jole	ole
joles	oles
jones	ones
jostler	ostler
jostlers	ostlers
jotter	otter
jotters	otters
jounce	ounce
jounces	ounces
joust	oust
jousted	ousted
jouster	ouster
jousters	ousters
jousting	ousting
jousts	ousts
jow	ow
jowed	owed
jowing	owing
jowl	owl
jowls	owls
joy	oy
judder	udder
judders	udders
judo	udo
judos	udos
juke	uke
jukes	ukes
jumbles	umbles
jumbo	umbo
jumbos	umbos
jump	ump
jumped	umped
jumping	umping
jumps	umps
jun	un
junco	unco
juncos	uncos
junction	unction
junctions	unctions
junto	unto
jupon	upon
jus	us
jut	ut
jute	ute
jutes	utes
juts	uts
kaas	aas
kab	ab
kabaka	abaka
kabakas	abakas
kabs	abs
kae	ae
kail	ail
kails	ails
kain	ain
kains	ains
kale	ale
kales	ales
kalewife	alewife
kalewives	alewives
kalif	alif
kalifs	alifs
kalong	along
kami	ami
kana	ana
kanas	anas
kane	ane
kanes	anes
kart	art
karts	arts
kas	as
kat	at
kauris	auris
kava	ava
kay	ay
kays	ays
kbar	bar
kbars	bars
ked	ed
kedge	edge
kedged	edged
kedges	edges
kedging	edging
keek	eek
keel	eel
keels	eels
kef	ef
kefs	efs
kegger	egger
keggers	eggers
ken	en
kenosis	enosis
kenosises	enosises
kens	ens
kern	ern
kerne	erne
kernes	ernes
kerns	erns
ketch	etch
ketches	etches
kevil	evil
kevils	evils
kex	ex
kexes	exes
keyed	eyed
keying	eying
khat	hat
khats	hats
khet	het
kheth	heth
kheths	heths
khets	hets
khi	hi
khis	his
kick	ick
kicker	icker
kickers	ickers
kickier	ickier
kickiest	ickiest
kicky	icky
kid	id
kids	ids
kif	if
kifs	ifs
kill	ill
killer	iller
kills	ills
kin	in
kink	ink
kinked	inked
kinkier	inkier
kinkiest	inkiest
kinkiness	inkiness
kinkinesses	inkinesses
kinking	inking
kinks	inks
kinky	inky
kins	ins
kirk	irk
kirks	irks
kit	it
kiter	iter
kits	its
kiwis	iwis
klatch	latch
klatches	latches
klister	lister
klisters	listers
klong	long
klongs	longs
kloof	loof
kloofs	loofs
kluge	luge
kluges	luges
klutz	lutz
klutzes	lutzes
knap	nap
knapped	napped
knapper	napper
knappers	nappers
knapping	napping
knaps	naps
knave	nave
knaves	naves
knee	nee
kneed	need
knew	new
knickers	nickers
knight	night
knightly	nightly
knights	nights
knit	nit
knits	nits
knob	nob
knobbier	nobbier
knobbiest	nobbiest
knobby	nobby
knobs	nobs
knock	nock
knocked	nocked
knocking	nocking
knocks	nocks
knot	not
know	now
knows	nows
knubbier	nubbier
knubbiest	nubbiest
knubby	nubby
knurl	nurl
knurled	nurled
knurling	nurling
knurls	nurls
koi	oi
kop	op
kops	ops
kor	or
kora	ora
kore	ore
kors	ors
kos	os
kraft	raft
krafts	rafts
krater	rater
kraters	raters
krill	rill
krills	rills
krimmer	rimmer
krimmers	rimmers
krises	rises
kudo	udo
kudos	udos
kurus	urus
kvas	vas
kvases	vases
kvetch	vetch
kvetches	vetches
kyack	yack
kyacks	yacks
kyak	yak
kyaks	yaks
kyar	yar
kye	ye
kyes	yes
lab	ab
labilities	abilities
lability	ability
labs	abs
lace	ace
laced	aced
lacerate	acerate
lacerated	acerated
laces	aces
laches	aches
lacing	acing
lad	ad
ladder	adder
ladders	adders
lads	ads
lag	ag
lager	ager
lagers	agers
lagger	agger
laggers	aggers
laid	aid
lain	ain
lair	air
laired	aired
lairing	airing
lairs	airs
lall	all
lalls	alls
lam	am
lama	ama
lamas	amas
lamber	amber
lambers	ambers
lament	ament
laments	aments
lamia	amia
lamias	amias
lamp	amp
lamps	amps
land	and
lands	ands
lane	ane
lanes	anes
languish	anguish
languished	anguished
languishes	anguishes
languishing	anguishing
lapse	apse
lapses	apses
lar	ar
larch	arch
larches	arches
lares	ares
lark	ark
larks	arks
lars	ars
larum	arum
larums	arums
larval	arval
las	as
lash	ash
lashed	ashed
lashes	ashes
lashing	ashing
lass	ass
lasses	asses
laster	aster
lasters	asters
lat	at
late	ate
latria	atria
lauding	auding
laura	aura
laurae	aurae
lauras	auras
laureate	aureate
lava	ava
lave	ave
laver	aver
lavers	avers
laves	aves
law	aw
lawed	awed
lawful	awful
lawfully	awfully
lawfulness	awfulness
lawfulnesses	awfulnesses
lawing	awing
lawless	awless
lawn	awn
lawns	awns
lawny	awny
lax	ax
lay	ay
lays	ays
lazurite	azurite
lazurites	azurites
leach	each
lear	ear
learn	earn
learned	earned
learner	earner
learners	earners
learning	earning
learnings	earnings
learns	earns
lears	ears
lease	ease
leased	eased
leases	eases
leasing	easing
least	east
leasts	easts
leave	eave
leaved	eaved
leaves	eaves
leched	eched
leches	eches
leching	eching
led	ed
ledge	edge
ledger	edger
ledgers	edgers
ledges	edges
ledgier	edgier
ledgiest	edgiest
ledgy	edgy
leek	eek
leerier	eerier
leeriest	eeriest
leerily	eerily
leery	eery
left	eft
lefts	efts
legal	egal
leger	eger
legers	egers
legged	egged
legging	egging
leggy	eggy
leke	eke
lend	end
lender	ender
lenders	enders
lending	ending
lends	ends
lens	ens
lepidote	epidote
lepidotes	epidotes
less	ess
let	et
letch	etch
letched	etched
letches	etches
letching	etching
lever	ever
lex	ex
lexes	exes
lice	ice
lich	ich
lick	ick
licker	icker
lickers	ickers
lid	id
lids	ids
ligneous	igneous
lignified	ignified
lignifies	ignifies
lignify	ignify
lignifying	ignifying
lignite	ignite
lignites	ignites
limbed	imbed
limitable	imitable
limitation	imitation
limitations	imitations
limitative	imitative
limp	imp
limped	imped
limping	imping
limply	imply
limps	imps
lin	in
lindies	indies
link	ink
linked	inked
linker	inker
linkers	inkers
linking	inking
links	inks
linky	inky
linn	inn
linns	inns
lins	ins
linter	inter
linters	inters
lion	ion
lionise	ionise
lionised	ionised
lionises	ionises
lionising	ionising
lionization	ionization
lionizations	ionizations
lionize	ionize
lionized	ionized
lionizer	ionizer
lionizers	ionizers
lionizes	ionizes
lionizing	ionizing
lions	ions
lire	ire
lis	is
lisle	isle
lisles	isles
lit	it
liter	iter
literate	iterate
literates	iterates
literation	iteration
literations	iterations
lither	ither
lits	its
llama	lama
llamas	lamas
loaf	oaf
loafs	oafs
loath	oath
loaves	oaves
lobe	obe
lobelia	obelia
lobelias	obelias
lobes	obes
loca	oca
locker	ocker
lockers	ockers
locular	ocular
loculi	oculi
loculus	oculus
lode	ode
lodes	odes
loft	oft
lofter	ofter
lomenta	omenta
lomentum	omentum
lomentums	omentums
lone	one
loneness	oneness
lonenesses	onenesses
loops	oops
loot	oot
loots	oots
lop	op
lope	ope
loped	oped
lopes	opes
loping	oping
lops	ops
loral	oral
lore	ore
lores	ores
lose	ose
loses	oses
lotic	otic
lotto	otto
lottos	ottos
loud	oud
lour	our
lours	ours
lout	out
louted	outed
louting	outing
louts	outs
lover	over
loverly	overly
lovers	overs
low	ow
lowe	owe
lowed	owed
lowes	owes
lowing	owing
lown	own
lowse	owse
lox	ox
loxes	oxes
lulu	ulu
lulus	ulus
lum	um
lumber	umber
lumbered	umbered
lumbering	umbering
lumbers	umbers
lump	ump
lumped	umped
lumping	umping
lumps	umps
lusher	usher
lute	ute
lutes	utes
lyard	yard
lye	ye
lyes	yes
mace	ace
maced	aced
macerate	acerate
macerated	acerated
maces	aces
mache	ache
maches	aches
macing	acing
mad	ad
madded	added
madder	adder
madders	adders
madding	adding
madman	adman
madmen	admen
mads	ads
mae	ae
mag	ag
mage	age
mages	ages
magma	agma
magmas	agmas
magnate	agnate
magnates	agnates
maid	aid
maids	aids
mail	ail
mailed	ailed
mailing	ailing
mails	ails
maim	aim
maimed	aimed
maimer	aimer
maimers	aimers
maiming	aiming
maims	aims
main	ain
mains	ains
mair	air
mairs	airs
malar	alar
malate	alate
malates	alates
male	ale
males	ales
malign	align
maligned	aligned
maligner	aligner
maligners	aligners
maligning	aligning
maligns	aligns
maline	aline
malines	alines
mall	all
mallee	allee
mallees	allees
mallow	allow
mallows	allows
malls	alls
malms	alms
malt	alt
malts	alts
mama	ama
mamas	amas
mambo	ambo
mambos	ambos
mamie	amie
mamies	amies
man	an
mana	ana
manas	anas
mane	ane
manes	anes
mangel	angel
mangels	angels
manger	anger
mangers	angers
mangle	angle
mangled	angled
mangler	angler
manglers	anglers
mangles	angles
mangling	angling
manna	anna
mannas	annas
manta	anta
mantas	antas
mantes	antes
mantic	antic
mantis	antis
mantra	antra
manus	anus
many	any
mar	ar
marc	arc
march	arch
marched	arched
marcher	archer
marchers	archers
marches	arches
marching	arching
marcs	arcs
mare	are
mares	ares
margent	argent
margents	argents
maria	aria
mark	ark
marks	arks
marrow	arrow
marrowed	arrowed
marrowing	arrowing
marrows	arrows
marrowy	arrowy
mars	ars
marse	arse
marses	arses
mart	art
marts	arts
mas	as
mascot	ascot
mascots	ascots
mash	ash
mashed	ashed
mashes	ashes
mashing	ashing
mashy	ashy
mask	ask
masked	asked
masker	asker
maskers	askers
masking	asking
maskings	askings
masks	asks
mass	ass
masses	asses
master	aster
masters	asters
mat	at
mate	ate
mates	ates
matt	att
mauger	auger
mavens	avens
maw	aw
mawed	awed
mawing	awing
mawn	awn
max	ax
maxed	axed
maxes	axes
maxilla	axilla
maxillae	axillae
maxillaries	axillaries
maxillary	axillary
maxillas	axillas
maxis	axis
may	ay
mays	ays
meager	eager
meagerly	eagerly
meagerness	eagerness
meagernesses	eagernesses
meagre	eagre
meat	eat
meats	eats
med	ed
meek	eek
mel	el
meld	eld
melder	elder
melders	elders
melds	elds
mell	ell
mells	ells
mels	els
mem	em
member	ember
members	embers
meme	eme
mems	ems
men	en
mend	end
mended	ended
mender	ender
menders	enders
mending	ending
mendings	endings
mends	ends
menologies	enologies
menology	enology
mere	ere
meristic	eristic
meristically	eristically
mesne	esne
mess	ess
messes	esses
met	et
meta	eta
meth	eth
methane	ethane
methanes	ethanes
methanol	ethanol
methanols	ethanols
methionine	ethionine
methionines	ethionines
methoxy	ethoxy
methoxyl	ethoxyl
meths	eths
methyl	ethyl
methylate	ethylate
methylated	ethylated
methylates	ethylates
methylating	ethylating
methylene	ethylene
methylenes	ethylenes
methylic	ethylic
methyls	ethyls
mho	ho
mice	ice
mick	ick
mid	id
mids	ids
miff	iff
